id,time,x,y,z,theta,vx,vy,vz,wx,wy,wz
2022-12-14-08-02-07,1671026528.013266,-53.459875476134364,153.64812843662435,-12.12223985531791,-1.0899178728006238,0.0025589417200535536,-0.0011887515429407358,-0.017890552058815956,-0.05637999624013901,-0.0192808099091053,0.0028531469870358706
2022-12-14-08-02-07,1671026528.0520434,-53.45982246423899,153.64815014796088,-12.123045225166555,-1.089831007043281,0.002441802527755499,-0.0017924997955560684,-0.02104736492037773,-0.037816453725099564,-0.024052992463111877,-0.0020217965357005596
2022-12-14-08-02-07,1671026528.08809,-53.459682604223296,153.64812448651352,-12.123819355368582,-1.0897205964949583,0.001758730853907764,-0.0008160704746842384,-0.02040158025920391,-0.013184965588152409,0.015686679631471634,-0.0002497536479495466
2022-12-14-08-02-07,1671026528.1249557,-53.459522801404596,153.64814270731802,-12.124332753013205,-1.0896004817941103,0.0032502408139407635,-0.0008786427788436413,-0.005740075837820768,-0.00032705487683415413,0.00464256014674902,-0.0008657229482196271
2022-12-14-08-02-07,1671026528.1649885,-53.45945004091621,153.6480906208621,-12.12431787368809,-1.089759761695273,0.0036932076327502728,-0.0012118006125092506,0.0006937324069440365,0.00027651526033878326,-0.004681953229010105,-0.007795365527272224
2022-12-14-08-02-07,1671026528.2072313,-53.459299766560704,153.6480832305958,-12.124366318303471,-1.0899684020736156,0.002780161565169692,-0.001268650870770216,-0.0024345247074961662,0.0017717727459967136,0.005453804973512888,-0.009278346784412861
2022-12-14-08-02-07,1671026528.2459352,-53.45922486504898,153.64809847824222,-12.124468778422498,-1.0901301287519163,0.0015508780488744378,-0.0008101321291178465,-0.0025528930127620697,0.00751436548307538,0.004613653756678104,-0.004551019053906202
2022-12-14-08-02-07,1671026528.2847204,-53.45913919774039,153.64803455905246,-12.124521159354718,-1.0901268137532578,0.0014528929023072124,-0.0020681037567555904,-0.000530157471075654,0.003951501566916704,-0.001308598555624485,0.004889379255473614
2022-12-14-08-02-07,1671026528.3246167,-53.45914136726045,153.64787644521215,-12.124512362419859,-1.0900446245719266,0.00011463137343525887,-0.0032311640679836273,-0.000686829851474613,0.00881635956466198,-0.00029121432453393936,0.00038839312037453055
2022-12-14-08-02-07,1671026528.3669398,-53.45913060378099,153.6476730419634,-12.124492811904748,-1.09012211858099,-0.0013696649111807346,-0.003038961673155427,0.0010742476442828774,0.00686338497325778,-0.001369020901620388,-0.007842601276934147
2022-12-14-08-02-07,1671026528.4112134,-53.45921589374256,153.64774217128453,-12.124416353507742,-1.0901643990958663,-0.001901597948744893,-0.0018443304579705,0.0018978106090798974,0.011637995019555092,0.003941153176128864,-0.0028980548959225416
2022-12-14-08-02-07,1671026528.4549472,-53.459254034623136,153.64767243864304,-12.12432293928303,-1.0902150495559084,-0.0006762468256056309,-0.0025678779929876328,0.0009250427829101682,0.009015252813696861,0.0009474498219788074,-0.003688996424898505
2022-12-14-08-02-07,1671026528.4989557,-53.4592248254086,153.64765306695563,-12.124285548464885,-1.090368631925932,0.0009320359094999731,-0.000582339009270072,0.0007911205175332725,0.01252738293260336,0.006289065815508366,-0.005002428311854601
2022-12-14-08-02-07,1671026528.5429513,-53.459151506257825,153.64759685297304,-12.124181924356886,-1.0905723415949289,0.0016089766286313534,0.000882826978340745,0.0019215164938941598,0.021064676344394684,-0.0013256724923849106,-0.0057305521331727505
